#    iter       q 
     0 1.8594603015
   349 1.0069627340e+00 7.0608553252e-01
   351 1.0028071614e+00 7.0467468197e-01
   353 1.0030761078e+00 7.0326665030e-01
   355 1.0039186257e+00 7.0186143189e-01
   357 1.0068312780e+00 7.0045902110e-01
   359 1.0066114736e+00 6.9905941232e-01
   361 1.0088869038e+00 6.9766259997e-01
   363 1.0088869038e+00 6.9626857846e-01
   365 1.0086946814e+00 6.9487734220e-01
   367 1.0088707626e+00 6.9348888563e-01
   369 1.0064084547e+00 6.9210320320e-01
   371 1.0067359898e+00 6.9072028936e-01
   373 1.0105468524e+00 6.8934013859e-01
   375 1.0108915895e+00 6.8796274536e-01
   377 1.0115531177e+00 6.8658810416e-01
   379 1.0134820173e+00 6.8521620950e-01
   381 1.0135555544e+00 6.8384705589e-01
   383 1.0153526128e+00 6.8248063785e-01
   385 1.0157008322e+00 6.8111694991e-01
   387 1.0158262049e+00 6.7975598662e-01
   389 1.0157008322e+00 6.7839774254e-01
   391 1.0197134551e+00 6.7704221224e-01
   393 1.0197109908e+00 6.7568939028e-01
   395 1.0289781491e+00 6.7433927127e-01
   397 1.0366979830e+00 6.7299184979e-01
   399 1.0698314372e+00 6.7164712046e-01
   401 1.0695324438e+00 6.7030507791e-01
   403 1.0692969004e+00 6.6896571676e-01
   405 1.0706982009e+00 6.6762903165e-01
   407 1.0615067850e+00 6.6629501724e-01
   409 1.0595500208e+00 6.6496366820e-01
   411 1.0617049882e+00 6.6363497919e-01
   413 1.0649631876e+00 6.6230894490e-01
   415 1.1022462715e+00 6.6098556003e-01
   417 1.1026492643e+00 6.5966481929e-01
   419 1.1013337390e+00 6.5834671739e-01
   421 1.1011081244e+00 6.5703124906e-01
   423 1.1467017943e+00 6.5571840903e-01
   425 1.1497123189e+00 6.5440819207e-01
   427 1.1475598575e+00 6.5310059291e-01
   429 1.1469628830e+00 6.5179560634e-01
   431 1.1038656957e+00 6.5049322714e-01
   433 1.1033626649e+00 6.4919345009e-01
   435 1.0752294605e+00 6.4789627000e-01
   437 1.0735099567e+00 6.4660168168e-01
   439 1.1167047003e+00 6.4530967994e-01
   441 1.1088069403e+00 6.4402025963e-01
   443 1.1089697400e+00 6.4273341558e-01
   445 1.1092625193e+00 6.4144914264e-01
   447 1.1081259809e+00 6.4016743569e-01
